date,symbol,vol_ratio,entry,exit,net
2026-02-02,BEL,1.5758569103258706,440.15,438.4,-0.004832917300920173
2026-02-02,LT,1.4071795393732152,3920.5,4038.0,0.029113667006759433
2026-02-02,IRFC,1.2901462296500161,115.1,115.11,-0.0007701190269330283
2026-02-02,RELIANCE,1.0667069389628268,1388.6,1438.0,0.03471839968313406
2026-02-02,MAZDOCK,1.0225826454232212,2433.3,2454.5,0.007855448115727467
2026-02-03,JIOFIN,2.7653462427977393,264.1,268.0,0.013910133661491849
2026-02-03,INDIGO,2.100954931384999,4946.0,4956.0,0.0011648358269308288
2026-02-03,BAJFINANCE,1.9299554402331294,964.8,963.95,-0.0017380116086234167
2026-02-03,DIXON,1.9128172042359357,11039.0,11680.0,0.057209853881692196
2026-02-03,RELIANCE,1.6513140312417867,1439.3,1455.4,0.010328993191134669
2026-02-09,BSE,1.0367674842499035,2982.4,3174.0,0.06338656223175965
2026-03-05,MAZDOCK,11.274494097499462,2355.9,2478.0,0.05097032713612626
2026-03-05,INDIGO,2.736090362559681,4480.0,4410.0,-0.016482
2026-03-05,BEL,2.5488559289537434,460.7,469.6,0.018461428478402483
2026-03-05,RELIANCE,2.2077961783170132,1386.0,1407.0,0.014294515151515138
2026-03-05,LT,1.9665942456630696,4018.9,3949.0,-0.01824981893055311
2026-03-10,DIXON,3.118449131643669,10942.0,10580.0,-0.033940531347102953
2026-03-10,JIOFIN,1.9516225738982464,235.8,238.5,0.010593381679389165
2026-03-10,INDIGO,1.8702352521981942,4375.0,4350.2,-0.006525571428571467
2026-03-10,MAZDOCK,1.8387795648387946,2481.2,2430.0,-0.021492176527486587
2026-03-10,LT,1.042401198158996,3874.1,3836.0,-0.010691542216256681
2026-03-16,BAJFINANCE,1.103998476244141,876.15,869.0,-0.009017703075957288
2026-03-17,BSE,1.2530738850955405,2974.7,2997.9,0.006942105792180905
2026-03-24,BAJFINANCE,2.0466286132256366,850.7,881.15,0.03493705195721153
2026-03-24,LT,1.302041013924698,3521.6,3658.9,0.03813096001817351
2026-03-24,IRFC,1.156336255750556,92.94,95.06,0.021953415321713018
2026-03-24,INDIGO,1.1400730275736966,4152.6,4290.0,0.0322307040890043
2026-03-24,IDEA,1.092944563261397,8.87,9.04,0.01830872717023679
2026-03-25,BAJFINANCE,1.645872660310909,881.55,846.5,-0.040616514491520594
2026-03-25,RVNL,1.318608627540715,268.5,264.05,-0.01743055679702044
2026-03-25,TRENT,1.3021441966476366,3479.6,3405.0,-0.022296245890332193
2026-03-25,BHARTIARTL,1.2182576624646597,1831.5,1850.0,0.009244010101010166
2026-03-25,INDIGO,1.135482346518744,4300.2,4111.8,-0.04466891572484988
2026-04-01,MAZDOCK,2.7532462317508233,2318.9,2263.0,-0.024963257277157317
2026-04-01,INDIGO,2.01145592925179,4180.3,4170.0,-0.0033209379948807606
2026-04-01,TRENT,1.742149109836277,3527.7,3532.9,0.0006170482467330285
2026-04-01,IDEA,1.291974664781092,8.67,8.55,-0.014697830449826869
2026-04-01,HAL,1.266764634463681,3676.2,3680.5,0.0003126860888961158
2026-04-06,TRENT,4.831284358074554,3831.7,3815.0,-0.0052153787874833525
2026-04-06,BSE,1.3190793702304806,2970.0,2944.6,-0.009409188552188533
2026-04-06,BAJFINANCE,1.0361618042724048,848.95,854.0,0.0050915246480945885
2026-04-08,INDIGO,2.5129309366807933,4604.8,4448.0,-0.03490842460041699
2026-04-08,BSE,2.4008898652680406,3161.8,3260.0,0.030201257954329704
2026-04-08,LT,1.5308209498037133,4010.5,3890.3,-0.030828325271163196
2026-04-08,IRFC,1.2397969178136443,98.84,98.59,-0.0033863403480372013
2026-04-08,DIXON,1.2241988456514479,10640.0,10618.0,-0.0029246691729323294
2026-04-10,BSE,1.3766576421199426,3281.0,3309.0,0.007676983541603174
2026-04-10,IRFC,1.200067992934293,100.23,99.15,-0.011632217000897897
2026-04-10,RVNL,1.0636225165833224,274.9,272.8,-0.00849614150600209
2026-04-15,RVNL,1.9604365659008893,286.55,294.48,0.026817053393823117
2026-04-15,DIXON,1.1415260045572162,11072.0,11285.0,0.018380716763005785
2026-04-15,JIOFIN,1.120719972838883,242.61,241.51,-0.0053910258027287696
2026-04-15,IRFC,1.0068713153315243,101.69,103.45,0.01645050319598795
2026-04-21,TRENT,1.7169101746726176,4397.9,4409.9,0.0018715750017054243
2026-04-29,ITC,1.5340773164141188,307.8,306.85,-0.003943419753086434
2026-05-04,VEDL,2.10382689130479,294.4,305.25,0.03599761956521752
2026-05-06,M&M,1.8937873874548903,3298.0,3366.0,0.019761556701030854
2026-05-06,INDIGO,1.6605663306484673,4501.3,4520.0,0.00329735540843756
2026-05-06,IDEA,1.6216214175401316,11.31,11.23,-0.007930386383731228
2026-05-06,KOTAKBANK,1.559205084868152,377.25,380.5,0.0077579768058316755
2026-05-06,ICICIBANK,1.1216460453122357,1277.9,1279.0,3.787229047588184e-06
2026-05-07,M&M,1.4663067026783652,3374.5,3331.5,-0.01359962853756114
2026-05-13,TATASTEEL,1.7762165586677634,219.94,220.6,0.002143818405019645
2026-05-13,VEDL,1.4222928148660408,324.1,339.0,0.04511646497994437
2026-05-14,BHARTIARTL,2.167662590565111,1882.7,1904.0,0.010456539066234668
2026-05-14,BSE,1.5668599282118516,4039.7,3996.0,-0.011674634972894008
2026-05-14,VEDL,1.452002633022786,339.65,330.0,-0.02926860017665234
2026-05-14,IDEA,1.3957220948322797,12.94,12.91,-0.003175392581143636
2026-05-14,HDFCBANK,1.324556699273575,769.6,770.0,-0.0003372494802494941
2026-05-15,INFY,1.1810194434901808,1118.0,1145.6,0.02382994096601065
2026-05-19,TCS,2.5875083080628745,2326.2,2323.9,-0.0018457369959589166
2026-05-19,INFY,2.3245537940443146,1197.8,1189.7,-0.007619397729170089
2026-05-25,INDIGO,2.076796378783203,4503.0,4483.0,-0.005298483455474127
2026-05-25,IRFC,1.1474170214174326,100.4,99.25,-0.012311183266932372
2026-05-27,TMPV,1.2932354414628933,401.5,395.0,-0.017046290161892855
2026-05-27,TATASTEEL,1.1893382408005542,214.99,210.19,-0.02318361984278339
